id,popularity,original_title,vote_average,budget_adj,revenue_adj,cast
135397,32.985763,Jurassic World,6.5,137999939.28,1392445892.52,Chris Pratt
76341,28.419936,Mad Max: Fury Road,7.1,137999939.28,348161292.489,Tom Hardy
262500,13.112507,Insurgent,6.3,101199955.472,271619025.408,Shailene Woodley
140607,11.173104,Star Wars: The Force Awakens,7.5,183999919.04,1902723129.8,Harrison Ford
168259,9.335014,Furious 7,7.3,174799923.088,1385748801.47,Vin Diesel
281957,9.1107,The Revenant,7.2,124199945.352,490314247.022,Leonardo DiCaprio
87101,8.654359,Terminator Genisys,5.8,142599937.256,405355075.684,Arnold Schwarzenegger
286217,7.6674,The Martian,7.6,99359956.2816,547749654.31,Matt Damon
211672,7.404165,Minions,6.5,68079970.0448,1064192016.8,Sandra Bullock
150540,6.326804,Inside Out,8.0,160999929.16,785411574.699,Amy Poehler
206647,6.200282,Spectre,6.2,225399900.824,810220283.783,Daniel Craig
76757,6.189369,Jupiter Ascending,5.2,161919931.515,169268630.682,Mila Kunis
264660,6.118847,Ex Machina,7.6,13799993.928,33919845.9553,Domhnall Gleeson
257344,5.984995,Pixels,5.8,80959964.3776,224146025.096,Adam Sandler
99861,5.944927,Avengers: Age of Ultron,7.4,257599886.656,1292632336.88,Robert Downey Jr.
273248,5.8984,The Hateful Eight,7.4,40479982.1888,143299244.588,Samuel L. Jackson
260346,5.749758,Taken 3,6.1,44159980.5696,299709578.208,Liam Neeson
102899,5.573184,Ant-Man,7.0,119599947.376,477113780.03,Paul Rudd
150689,5.556818,Cinderella,6.8,87399961.544,498963025.216,Lily James
131634,5.476958,The Hunger Games: Mockingjay - Part 2,6.5,147199935.232,598481289.508,Jennifer Lawrence
158852,5.462138,Tomorrowland,6.2,174799923.088,192312729.942,Britt Robertson
307081,5.337064,Southpaw,7.3,27599987.856,84373003.7159,Jake Gyllenhaal
254128,4.907832,San Andreas,6.1,101199955.472,432851374.985,Dwayne Johnson
216015,4.710402,Fifty Shades of Grey,5.3,36799983.808,524079119.045,Dakota Johnson
318846,4.648046,The Big Short,7.3,25759988.6656,122678731.541,Christian Bale
177677,4.566713,Mission: Impossible - Rogue Nation,7.1,137999939.28,627743451.673,Tom Cruise
214756,4.564549,Ted 2,6.3,62559972.4736,198594430.138,Mark Wahlberg
207703,4.503789,Kingsman: The Secret Service,7.6,74519967.2112,371497801.661,Taron Egerton
314365,4.062293,Spotlight,7.8,18399991.904,81278719.3974,Mark Ruffalo
294254,3.968891,Maze Runner: The Scorch Trials,6.4,56119975.3072,286356245.923,Dylan O'Brien
198184,3.899557,Chappie,6.6,45079980.1648,93903685.2424,Sharlto Copley
254470,3.877764,Pitch Perfect 2,6.8,26679988.2608,264505582.098,Anna Kendrick
296098,3.64821,Bridge of Spies,7.1,36799983.808,149601569.335,Tom Hanks
257445,3.644541,Goosebumps,6.2,53359976.5216,138157089.011,Jack Black
264644,3.557846,Room,8.0,5519997.5712,32569603.0294,Brie Larson
105864,3.339135,The Good Dinosaur,6.6,160999929.16,305371920.876,Raymond Ochoa
241554,3.23737,Run All Night,6.3,45999979.76,65836683.5119,Liam Neeson
167073,3.227329,Brooklyn,7.3,10119995.5472,57110024.5916,Saoirse Ronan
277216,3.202719,Straight Outta Compton,7.7,25759988.6656,185504110.098,O'Shea Jackson Jr.
274854,3.080505,The Last Witch Hunter,5.6,82799963.568,129164861.167,Vin Diesel
321697,3.079522,Steve Jobs,6.9,27599987.856,31686509.2179,Michael Fassbender
203801,3.053421,The Man from U.N.C.L.E.,7.0,68999969.64,99493456.5029,Henry Cavill
293863,3.025852,The Age of Adaline,7.3,22999989.88,39219376.6635,Blake Lively
325348,3.023253,Hardcore Henry,5.9,9199995.952,13187080.9977,Sharlto Copley
228161,2.976436,Home,6.9,124199945.352,339361177.121,Jim Parsons
286565,2.968254,Paper Towns,6.2,11039995.1424,78671281.3846,Nat Wolff
254320,2.885126,The Lobster,6.6,3679998.3808,8339346.45069,Colin Farrell
258480,2.883233,Carol,7.1,10855995.2234,37050347.8978,Cate Blanchett
257211,2.814802,The Intern,7.1,32199985.832,178999419.48,Robert De Niro
253412,2.798017,Everest,6.7,50599977.736,187153294.933,Jason Clarke
274479,2.793297,Joy,6.4,55199975.712,93043293.341,Jennifer Lawrence
257088,2.614499,Point Break,5.5,96599957.496,123021159.991,Edgar Ramírez
295964,2.584264,Burnt,6.3,18399991.904,33678188.7416,Bradley Cooper
238615,2.578919,Self/less,6.2,23919989.4752,28081355.5642,Ryan Reynolds
210860,2.575711,Mortdecai,5.3,55199975.712,27985062.8866,Johnny Depp
306819,2.557859,The Danish Girl,7.3,13799993.928,59056175.1753,Eddie Redmayne
201088,2.550747,Blackhat,5.0,64399971.664,16332697.6136,Chris Hemsworth
273481,2.487849,Sicario,7.1,27599987.856,77303716.7064,Emily Blunt
166424,2.487042,Fantastic Four,4.4,110399952.344,154539320.323,Miles Teller
310131,2.46449,The Witch,5.8,3219998.5832,37190013.0364,Anya Taylor-Joy
238713,2.404473,Spy,6.9,59799973.688,216812826.082,Melissa McCarthy
256591,2.395366,Focus,6.7,46091979.7195,141645863.636,Will Smith
249070,2.354654,Hitman: Agent 47,5.5,32199985.832,75759810.1857,Rupert Friend
205775,2.345821,In the Heart of the Sea,6.4,91999959.52,86315059.3814,Chris Hemsworth
312221,2.331567,Creed,7.3,32199985.832,126900665.804,Michael B. Jordan
271718,2.31767,Trainwreck,6.1,32199985.832,129532072.566,Amy Schumer
333352,2.29573,Eye in the Sky,7.2,11959994.7376,30220316.9031,Helen Mirren
276907,2.28135,Legend,6.7,22999989.88,39535137.0845,Tom Hardy
266647,2.234573,Pan,5.9,137999939.28,118117202.428,Levi Miller
227973,2.140199,The Peanuts Movie,6.4,91079959.9248,226534364.285,Noah Schnapp
321741,2.121884,Concussion,6.9,32199985.832,44733666.5572,Will Smith
296100,2.096273,The Night Before,6.1,22999989.88,48204295.1101,Joseph Gordon-Levitt
263472,2.080935,Knock Knock,4.8,2299998.988,4796917.44936,Keanu Reeves
228205,2.070708,The Longest Ride,7.3,31279986.2368,57972193.0122,Scott Eastwood
159824,2.060162,Hotel Transylvania 2,6.8,73599967.616,428888671.769,Adam Sandler
333348,2.055572,Love the Coopers,5.3,15639993.1184,22079990.2848,Steve Martin
285783,2.049886,The Walk,6.8,32199985.832,56287361.8736,Joseph Gordon-Levitt
290764,2.026651,Tracers,5.9,10119995.5472,1714249.04573,Marie Avgeropoulos
296099,2.000338,Vacation,6.1,28519987.4512,96033410.7053,Ed Helms
243688,1.984529,Poltergeist,5.0,32199985.832,87802915.8467,Sam Rockwell
287424,1.980039,Maggie,5.1,3679998.3808,172142.964257,Arnold Schwarzenegger
181283,1.95632,Child 44,5.9,45999979.76,3058382.25431,Tom Hardy
328425,1.926739,The Gift,6.6,4599997.976,54260336.8855,Jason Bateman
274167,1.904898,Daddy's Home,5.7,45999979.76,221131463.342,Will Ferrell
309809,1.865007,The Little Prince,7.5,58879974.0928,89765510.5032,Jeff Bridges
298382,1.82313,The Dressmaker,6.9,10975595.1707,16872792.576,Kate Winslet
272693,1.758618,The DUFF,6.8,7819996.5592,40046325.6596,Mae Whitman
283445,1.742286,Sinister 2,5.5,9199995.952,48651435.1534,Shannyn Sossamon
256961,1.73518,Paul Blart: Mall Cop 2,5.3,27599987.856,98989419.0847,Kevin James
241251,1.651078,The Boy Next Door,3.9,3679998.3808,46150034.454,Jennifer Lopez
188222,1.532997,Entourage,6.2,27599987.856,45322311.7382,Jeremy Piven
252838,1.510096,The Wedding Ringer,6.5,21159990.6896,73415857.297,Kevin Hart
273477,1.499614,Scouts Guide to the Zombie Apocalypse,6.2,13799993.928,13671898.7044,Tye Sheridan
298312,1.495112,The Visit,5.9,4599997.976,90574017.1874,Olivia DeJonge
261023,1.483246,Black Mass,6.3,48759978.5456,91793583.3708,Johnny Depp
336004,1.449072,Heist,5.4,8187996.39728,46125.099705,Jeffrey Dean Morgan
287903,1.448002,Krampus,5.9,13799993.928,56624785.5251,Adam Scott
182560,1.443406,Dark Places,5.7,18399991.904,191900.875564,Charlize Theron
192141,1.41239,No Escape,6.7,4599997.976,50065340.2113,Owen Wilson
308639,1.40805,Dope,7.3,643999.71664,16547831.239,Shameik Moore
261392,1.388251,American Ultra,5.9,25759988.6656,25951426.7814,Jesse Eisenberg
304357,1.388032,Woman in Gold,7.3,10119995.5472,56690166.2163,Helen Mirren
266294,1.376605,Sisters,5.9,27599987.856,96610126.2515,Tina Fey
227719,1.360926,Project Almanac,6.3,11039995.1424,29668368.6659,Jonny Weston
287948,1.355822,The Transporter Refueled,5.3,22999989.88,66819266.9995,Ed Skrein
201085,1.345982,Crimson Peak,6.4,50599977.736,68705406.0096,Mia Wasikowska
264999,1.338481,Magic Mike XXL,6.3,13615994.009,112619962.887,Channing Tatum
146301,1.338322,Paranormal Activity: The Ghost Dimension,5.0,9199995.952,71851557.1453,Chris J. Murray
294016,1.316239,Trumbo,7.2,13799993.928,7576804.78621,Bryan Cranston
290751,1.315266,Secret in Their Eyes,6.2,17939992.1064,29614535.8096,Chiwetel Ejiofor
228165,1.291013,The SpongeBob Movie: Sponge Out of Water,5.7,68079970.0448,286666383.307,Tom Kenny
272878,1.278928,Max,7.0,18399991.904,40449856.8021,Thomas Haden Church
266396,1.225325,The Gunman,5.6,36799983.808,9811564.76291,Sean Penn
277685,1.191138,Unfriended,5.6,919999.5952,57851497.3453,Shelley Hennig
268920,1.178831,Hot Pursuit,5.5,32199985.832,47545763.9999,Reese Witherspoon
280092,1.164724,Insidious: Chapter 3,6.3,9199995.952,95959500.6978,Dermot Mulroney
328589,1.142518,The Lady in the Van,5.9,5519997.5712,38076655.2863,Maggie Smith
228066,1.138395,Victor Frankenstein,5.5,36799983.808,31489100.3048,James McAvoy
291270,1.125239,Anomalisa,6.7,7359996.7616,3458541.59824,Jennifer Jason Leigh
250124,1.03839,The Diary of a Teenage Girl,6.8,1839999.1904,1358841.24211,Bel Powley
282984,1.007054,Irrational Man,6.1,10119995.5472,25199786.1921,Emma Stone
275601,0.956096,Ricki and the Flash,5.5,16559992.7136,38019285.0315,Meryl Streep
304372,0.950793,The Perfect Guy,5.6,11039995.1424,55451294.7614,Michael Ealy
252512,0.93762,While We're Young,5.9,9199995.952,6980483.12859,Ben Stiller
257091,0.927339,Get Hard,5.9,36799983.808,97990493.6442,Will Ferrell
293646,0.906036,The 33,5.8,22999989.88,22910495.0794,Antonio Banderas
245168,0.898296,Suffragette,7.1,12879994.3328,14722219.9222,Carey Mulligan
301351,0.880938,We Are Your Friends,6.2,5519997.5712,10232318.2978,Zac Efron
268238,0.832487,The Second Best Exotic Marigold Hotel,6.4,9199995.952,79099969.916,Dev Patel
256962,0.829111,Little Boy,7.1,18399991.904,5906690.88106,Jakob Salvati
222936,0.814206,Aloha,5.2,34039985.0224,24150007.774,Bradley Cooper
10317,0.795762,Our Brand Is Crisis,5.7,25759988.6656,6442077.28549,Sandra Bullock
306745,0.706023,Freeheld,7.1,6439997.1664,527467.967914,Julianne Moore
292431,0.699932,Love,4.7,2759998.7856,639647.198555,Karl Glusman
300693,0.69957,Truth,6.4,8831996.11392,2338228.65118,Robert Redford
256924,0.690479,Danny Collins,6.6,9199995.952,9968887.45369,Al Pacino
253414,0.689579,Rock the Kasbah,5.1,13799993.928,2779009.65724,Bill Murray
320588,0.673792,"Hello, My Name Is Doris",6.6,919999.5952,13289393.2327,Sally Field
157544,0.669351,The Vatican Tapes,4.5,11959994.7376,1641981.23753,Olivia Taylor Dudley
283235,0.661471,99 Homes,6.8,7359996.7616,1298972.26845,Andrew Garfield
243938,0.661163,Hot Tub Time Machine 2,5.0,12879994.3328,11329473.935,Rob Corddry
254905,0.654046,Manglehorn,5.0,3679998.3808,131652.862073,Al Pacino
232572,0.602165,A Walk in the Woods,5.4,7359996.7616,33111785.4708,Robert Redford
243940,0.599655,The Lazarus Effect,4.9,3035998.66416,58981843.808,Olivia Wilde
239573,0.577814,Unfinished Business,4.9,32199985.832,13276746.9182,Vince Vaughn
167810,0.570744,Lost River,5.7,1839999.1904,41796.5016095,Christina Hendricks
299245,0.532205,The Gallows,5.0,91999.95952,39251239.9295,Cassidy Gifford
314385,0.524315,By the Sea,5.4,9199995.952,3068131.49002,Angelina Jolie
253331,0.46209,Black or White,6.7,8279996.3568,19845485.148,Kevin Costner
297806,0.450872,I Saw the Light,5.6,11959994.7376,1515044.29338,Tom Hiddleston
266639,0.435582,Jem and the Holograms,5.7,4599997.976,2146988.33533,Aubrey Peeples
283587,0.424813,Beasts of No Nation,7.5,5519997.5712,83514.8032535,Idris Elba
234212,0.414913,Demonic,5.0,2759998.7856,3116038.62894,Maria Bello
308638,0.402236,The D Train,4.2,411721.898842,709611.327771,Jack Black
245846,0.365901,Strangerland,5.0,9199995.952,16074.2329273,Nicole Kidman
331190,0.336107,Captive,5.7,1839999.1904,2577386.22595,Kate Mara
343795,0.298751,90 Minutes in Heaven,5.7,4599997.976,4455281.11968,Kate Bosworth
309304,0.259794,Grandma,5.6,551999.75712,6520452.971,Lily Tomlin
323272,0.731022,War Room,6.9,2759998.7856,62366880.1986,Priscilla C. Shirer
273899,0.076109,Stonewall,5.6,12419994.5352,172660.00403,Jeremy Irvine
157336,24.949134,Interstellar,8.0,151980023.377,572690645.123,Matthew McConaughey
118340,14.311205,Guardians of the Galaxy,7.9,156585478.631,712291130.17,Chris Pratt
100402,12.971027,Captain America: The Winter Soldier,7.6,156585478.631,658365092.86,Chris Evans
245891,11.422751,John Wick,7.0,18421821.0154,72526614.4654,Keanu Reeves
131631,10.739009,The Hunger Games: Mockingjay - Part 1,6.6,115136381.346,692752790.215,Jennifer Lawrence
122917,10.174599,The Hobbit: The Battle of the Five Armies,7.1,230272762.693,879752289.142,Martin Freeman
177572,8.691294,Big Hero 6,7.8,151980023.377,600648487.707,Scott Adsit
205596,8.110711,The Imitation Game,8.0,12895274.7108,215126072.495,Benedict Cumberbatch
198663,7.137273,The Maze Runner,7.0,31317095.7262,320834306.773,Dylan O'Brien
194662,6.907148,Birdman,7.3,16579638.9139,95070499.3879,Michael Keaton
210577,6.438727,Gone Girl,7.9,56186554.0971,340186892.137,Ben Affleck
228150,6.415818,Fury,7.4,62634191.4525,195103577.61,Brad Pitt
181533,6.286692,Night at the Museum: Secret of the Tomb,6.1,116978563.448,321851579.072,Ben Stiller
157350,6.14502,Divergent,6.9,78292739.3156,265963102.014,Shailene Woodley
127585,6.052479,X-Men: Days of Future Past,7.6,230272762.693,687133923.876,Hugh Jackman
240832,5.947136,Lucy,6.3,36843642.0309,426796807.314,Scarlett Johansson
98566,5.787396,Teenage Mutant Ninja Turtles,5.8,115136381.346,439544649.428,Megan Fox
225886,5.701683,Sex Tape,5.3,36843642.0309,116121496.515,Cameron Diaz
242582,5.522641,Nightcrawler,7.6,7829273.93156,35643660.2685,Jake Gyllenhaal
91314,4.983782,Transformers: Age of Extinction,5.9,193429120.662,226127852.964,Mark Wahlberg
120467,4.93082,The Grand Budapest Hotel,7.9,27632731.5231,160822790.372,Ralph Fiennes
244786,4.780419,Whiplash,8.2,3039600.46755,12888912.7349,Miles Teller
