id,popularity,director,keywords,vote_average,vote_count,release_year,budget_adj,revenue_adj,keywords whether include 'based on novel'
135397,32.985763,Colin Trevorrow,"['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island']",6.5,5562,2015,137999939.28,1392445892.52,False
76341,28.419936,George Miller,"['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia']",7.1,6185,2015,137999939.28,348161292.489,False
262500,13.112507,Robert Schwentke,"['based on novel', 'revolution', 'dystopia', 'sequel', 'dystopic future']",6.3,2480,2015,101199955.472,271619025.408,True
140607,11.173104,J.J. Abrams,"['android', 'spaceship', 'jedi', 'space opera', '3d']",7.5,5292,2015,183999919.04,1902723129.8,False
168259,9.335014,James Wan,"['car race', 'speed', 'revenge', 'suspense', 'car']",7.3,2947,2015,174799923.088,1385748801.47,False
281957,9.1107,Alejandro González Iñárritu,"['father-son relationship', 'rape', 'based on novel', 'mountains', 'winter']",7.2,3929,2015,124199945.352,490314247.022,True
87101,8.654359,Alan Taylor,"['saving the world', 'artificial intelligence', 'cyborg', 'killer robot', 'future']",5.8,2598,2015,142599937.256,405355075.684,False
286217,7.6674,Ridley Scott,"['based on novel', 'mars', 'nasa', 'isolation', 'botanist']",7.6,4572,2015,99359956.2816,547749654.31,True
211672,7.404165,Kyle Balda|Pierre Coffin,"['assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'minions']",6.5,2893,2015,68079970.0448,1064192016.8,False
150540,6.326804,Pete Docter,"['dream', 'cartoon', 'imaginary friend', 'animation', 'kid']",8.0,3935,2015,160999929.16,785411574.699,False
206647,6.200282,Sam Mendes,"['spy', 'based on novel', 'secret agent', 'sequel', 'james bond']",6.2,3254,2015,225399900.824,810220283.783,True
76757,6.189369,Lana Wachowski|Lilly Wachowski,"['jupiter', 'space', 'woman director', '3d', 'interspecies romance']",5.2,1937,2015,161919931.515,169268630.682,False
264660,6.118847,Alex Garland,"['dancing', 'artificial intelligence', 'helicopter', 'distrust', 'isolation']",7.6,2854,2015,13799993.928,33919845.9553,False
