id,popularity,original_title,release_year,budget_adj,revenue_adj,production_company
168259,9.335014,Furious 7,2015,174799923.088,1385748801.47,Universal Pictures
87101,8.654359,Terminator Genisys,2015,142599937.256,405355075.684,Paramount Pictures
211672,7.404165,Minions,2015,68079970.0448,1064192016.8,Universal Pictures
318846,4.648046,The Big Short,2015,25759988.6656,122678731.541,Paramount Pictures
177677,4.566713,Mission: Impossible - Rogue Nation,2015,137999939.28,627743451.673,Paramount Pictures
214756,4.564549,Ted 2,2015,62559972.4736,198594430.138,Universal Pictures
254470,3.877764,Pitch Perfect 2,2015,26679988.2608,264505582.098,Universal Pictures
321697,3.079522,Steve Jobs,2015,27599987.856,31686509.2179,Universal Pictures
253412,2.798017,Everest,2015,50599977.736,187153294.933,Universal Pictures
201088,2.550747,Blackhat,2015,64399971.664,16332697.6136,Universal Pictures
271718,2.31767,Trainwreck,2015,32199985.832,129532072.566,Universal Pictures
274167,1.904898,Daddy's Home,2015,45999979.76,221131463.342,Paramount Pictures
241251,1.651078,The Boy Next Door,2015,3679998.3808,46150034.454,Universal Pictures
273477,1.499614,Scouts Guide to the Zombie Apocalypse,2015,13799993.928,13671898.7044,Paramount Pictures
287903,1.448002,Krampus,2015,13799993.928,56624785.5251,Universal Pictures
227719,1.360926,Project Almanac,2015,11039995.1424,29668368.6659,Paramount Pictures
146301,1.338322,Paranormal Activity: The Ghost Dimension,2015,9199995.952,71851557.1453,Paramount Pictures
228165,1.291013,The SpongeBob Movie: Sponge Out of Water,2015,68079970.0448,286666383.307,Paramount Pictures
243938,0.661163,Hot Tub Time Machine 2,2015,12879994.3328,11329473.935,Paramount Pictures
266639,0.435582,Jem and the Holograms,2015,4599997.976,2146988.33533,Universal Pictures
157336,24.949134,Interstellar,2014,151980023.377,572690645.123,Paramount Pictures
240832,5.947136,Lucy,2014,36843642.0309,426796807.314,Universal Pictures
98566,5.787396,Teenage Mutant Ninja Turtles,2014,115136381.346,439544649.428,Paramount Pictures
91314,4.983782,Transformers: Age of Extinction,2014,193429120.662,226127852.964,Paramount Pictures
242512,3.489314,Ouija,2014,4605455.25386,94439261.8745,Universal Pictures
49017,3.028769,Dracula Untold,2014,64476373.554,198522018.221,Universal Pictures
238636,2.611251,The Purge: Anarchy,2014,8289819.45694,100198906.849,Universal Pictures
184315,2.549403,Hercules,2014,92109105.0771,224193561.758,Paramount Pictures
86834,2.526779,Noah,2014,115136381.346,334022131.055,Paramount Pictures
195589,2.376309,Neighbors,2014,16579638.9139,246997381.338,Universal Pictures
168530,2.165462,Ride Along,2014,23027276.2693,141846012.919,Universal Pictures
137094,2.141491,Jack Ryan: Shadow Recruit,2014,55265463.0463,46560330.0822,Paramount Pictures
226857,1.077877,Endless Love,2014,18421821.0154,31388867.1409,Universal Pictures
284536,0.350612,The Gambler,2014,23027276.2693,36080177.2916,Paramount Pictures
11009,0.602862,Saturday Night Fever,1977,12592233.614,853081315.968,Paramount Pictures
7227,0.373131,Airport '77,1977,21586686.1954,107933430.977,Universal Pictures
38985,0.219941,Sorcerer,1977,79151182.7165,43173372.3908,Paramount Pictures
16869,6.098027,Inglourious Basterds,2009,71148030.3887,324364937.763,Universal Pictures
13475,3.82957,Star Trek,2009,152460065.119,392005772.748,Paramount Pictures
13183,3.038063,Watchmen,2009,132132056.436,188297310.747,Paramount Pictures
14869,1.906998,G.I. Joe: The Rise of Cobra,2009,177870075.972,307429640.188,Paramount Pictures
16871,1.398364,Drag Me to Hell,2009,30492013.0237,92332504.8315,Universal Pictures
19899,1.232312,Couples Retreat,2009,71148030.3887,174663169.978,Universal Pictures
11322,1.138277,Public Enemies,2009,81312034.73,217616028.716,Universal Pictures
16995,1.043738,State of Play,2009,60984026.0475,89223892.8909,Universal Pictures
18947,0.967776,The Boat That Rocked,2009,50820021.7062,36944919.8375,Universal Pictures
25643,0.908112,Love Happens,2009,18295207.8142,36725611.1158,Universal Pictures
8373,0.813323,Transformers: Revenge of the Fallen,2009,152460065.119,850012865.597,Paramount Pictures
22897,0.786159,It's Complicated,2009,86394036.9006,222697050.06,Universal Pictures
18162,0.760048,Land of the Lost,2009,101640043.412,69815357.6479,Universal Pictures
24418,0.608282,Cirque du Freak: The Vampire's Assistant,2009,40656017.365,28631665.8336,Universal Pictures
22947,0.598075,Up in the Air,2009,25410010.8531,166354259.053,Paramount Pictures
13804,0.580292,Fast & Furious,2009,86394036.9006,369120316.605,Universal Pictures
22824,0.52916,The Fourth Kind,2009,10164004.3412,43027579.4159,Universal Pictures
16558,0.508705,Duplicity,2009,79428291.0182,60984026.0475,Universal Pictures
20352,3.791881,Despicable Me,2010,69000000.0,543513985.0,Universal Pictures
11324,3.176169,Shutter Island,2010,80000000.0,294804195.0,Paramount Pictures
44264,2.100704,True Grit,2010,38000000.0,252276927.0,Paramount Pictures
22538,1.906739,Scott Pilgrim vs. the World,2010,60000000.0,47664559.0,Universal Pictures
39451,1.903671,Little Fockers,2010,100000000.0,310650585.0,Paramount Pictures
10196,1.538276,The Last Airbender,2010,150000000.0,318502923.0,Paramount Pictures
31867,1.348633,Repo Men,2010,32000000.0,18409891.0,Universal Pictures
25195,1.2347,Leap Year,2010,19000000.0,29922472.0,Universal Pictures
22972,1.206958,Green Zone,2010,100000000.0,94882889.0,Universal Pictures
37950,1.166631,Charlie St. Cloud,2010,44000000.0,48190704.0,Universal Pictures
45317,1.054685,The Fighter,2010,25000000.0,9190869.0,Paramount Pictures
32823,1.047978,Get Him to the Greek,2010,40000000.0,90029656.0,Universal Pictures
35019,0.981468,Nanny McPhee and the Big Bang,2010,35000000.0,93246388.0,Universal Pictures
41436,0.875432,Paranormal Activity 2,2010,3000000.0,177512032.0,Paramount Pictures
38778,0.73988,Dinner for Schmucks,2010,69000000.0,86387857.0,Paramount Pictures
44040,0.368927,Devil,2010,10000000.0,33583175.0,Universal Pictures
564,2.94377,The Mummy,1999,104724227.728,544416081.924,Universal Pictures
2668,2.065619,Sleepy Hollow,1999,130905284.659,269758486.295,Paramount Pictures
2105,1.825695,American Pie,1999,14399581.3125,308259696.711,Universal Pictures
9481,1.254522,The Bone Collector,1999,95560857.8014,198313200.319,Universal Pictures
2112,1.050599,Payback,1999,117814756.193,211577133.779,Paramount Pictures
4806,1.03785,Runaway Bride,1999,91633699.2616,405096233.056,Paramount Pictures
10398,0.993492,Double Jeopardy,1999,91633699.2616,232803997.743,Paramount Pictures
10400,0.92088,The Hurricane,1999,65452642.3297,96812627.8045,Universal Pictures
2275,0.72669,The General's Daughter,1999,78543170.7957,195972871.712,Paramount Pictures
9423,0.654013,Virus,1999,98178963.4946,18340733.6273,Universal Pictures
1213,0.640331,The Talented Mr. Ripley,1999,52362113.8638,168603735.435,Paramount Pictures
9824,0.636432,Mystery Men,1999,89015593.5684,38960045.2199,Universal Pictures
10397,0.35206,Angela's Ashes,1999,32.7263211649,17.0176870057,Paramount Pictures
12220,0.573718,The Story of Us,1999,65452642.3297,77103253.245,Universal Pictures
16162,0.066504,The Best Man,1999,11781475.6193,45258905.1265,Universal Pictures
15256,0.246669,200 Cigarettes,1999,7854317.07957,8970219.17865,Paramount Pictures
8970,0.242797,The Out-of-Towners,1999,98178963.4946,37962532.5512,Paramount Pictures
22267,0.198126,Ride with the Devil,1999,49744008.1706,831374.226661,Universal Pictures
1734,2.449323,The Mummy Returns,2001,120685835.436,533250701.302,Universal Pictures
1995,2.179727,Lara Croft: Tomb Raider,2001,141621133.42,338293898.826,Paramount Pictures
2770,2.116602,American Pie 2,2001,36944643.5008,354118835.155,Universal Pictures
853,1.839325,Enemy at the Gates,2001,86204168.1686,119425124.106,Paramount Pictures
9398,1.581446,Zoolander,2001,34481667.2674,74851055.8225,Paramount Pictures
1903,1.131878,Vanilla Sky,2001,83741191.9352,250470325.016,Paramount Pictures
1535,1.063015,Spy Game,2001,113296906.736,176163833.238,Universal Pictures
2043,0.844235,Along Came a Spider,2001,73889287.0016,129526148.002,Paramount Pictures
9896,0.787835,Rat Race,2001,59111429.6013,105290428.616,Paramount Pictures
20857,0.565877,Hardball,2001,39407619.7342,49533812.7845,Paramount Pictures
11371,0.526992,The Score,2001,83741191.9352,87521717.6008,Paramount Pictures
8386,0.499301,How High,2001,14777857.4003,38367547.9729,Universal Pictures
9799,0.414311,The Fast and the Furious,2001,46796548.4344,255267690.419,Universal Pictures
9740,0.324227,Hannibal,2001,107139466.152,433104848.775,Universal Pictures
11456,0.323191,Domestic Disturbance,2001,92361608.752,66807360.9,Paramount Pictures
11631,2.543535,Mamma Mia!,2008,52664904.9581,617639458.694,Universal Pictures
4922,2.537342,The Curious Case of Benjamin Button,2008,151917995.071,338201950.262,Paramount Pictures
1735,2.511394,The Mummy: Tomb of the Dragon Emperor,2008,146854061.902,406257724.017,Universal Pictures
1724,2.349544,The Incredible Hulk,2008,151917995.071,165805400.34,Universal Pictures
11253,2.188028,Hellboy II: The Golden Army,2008,86086863.8738,162438886.429,Universal Pictures
8909,1.982998,Wanted,2008,75958997.5357,261572412.016,Universal Pictures
10483,1.583079,Death Race,2008,45575398.5214,74705690.2809,Universal Pictures
7191,1.499784,Cloverfield,2008,25319665.8452,172947523.068,Paramount Pictures
9870,1.475988,Forgetting Sarah Marshall,2008,30383599.0143,106517925.108,Universal Pictures
15373,1.103468,Role Models,2008,28358025.7467,93562168.0845,Universal Pictures
8204,1.019335,The Spiderwick Chronicles,2008,91150797.0428,164921838.192,Paramount Pictures
12177,0.885215,The Love Guru,2008,62792771.2962,42353789.0576,Paramount Pictures
8988,0.68078,Stop-Loss,2008,25319665.8452,11350431.4674,Paramount Pictures
13490,0.224471,Welcome Home Roscoe Jenkins,2008,35447532.1833,44208931.6033,Universal Pictures
56292,2.95274,Mission: Impossible - Ghost Protocol,2011,140562716.176,673453790.734,Paramount Pictures
41630,2.252505,No Strings Attached,2011,24234951.0648,143258069.269,Paramount Pictures
17578,2.2343,The Adventures of Tintin,2011,126021745.537,360557976.789,Paramount Pictures
55721,2.208685,Bridesmaids,2011,31505436.3842,279558422.712,Universal Pictures
37686,2.026717,Super 8,2011,48469902.1296,252136540.684,Paramount Pictures
44896,1.499109,Rango,2011,130868735.75,238204949.165,Paramount Pictures
49520,1.493933,The Change-Up,2011,50408698.2148,73141505.9405,Universal Pictures
44826,1.488615,Hugo,2011,164797667.241,180085229.476,Paramount Pictures
57157,1.285106,Young Adult,2011,11632776.5111,22237047.8728,Paramount Pictures
38050,1.241191,The Adjustment Bureau,2011,48663781.7381,123956325.71,Universal Pictures
59861,1.215505,Larry Crowne,2011,29081941.2777,35053796.7444,Universal Pictures
39513,1.213405,Paul,2011,38775921.7037,94566766.3208,Universal Pictures
58233,1.048895,Johnny English Reborn,2011,43622911.9166,155179867.929,Universal Pictures
60935,1.013771,The Thing,2011,33928931.4907,27267877.6387,Universal Pictures
59108,1.013101,Tower Heist,2011,72704853.1944,148250646.588,Universal Pictures
38319,1.004841,Your Highness,2011,48372962.3253,25322264.7465,Universal Pictures
64685,0.907952,Extremely Loud & Incredibly Close,2011,38775921.7037,53557187.6987,Paramount Pictures
50359,0.806735,Hop,2011,61072076.6833,178324379.004,Universal Pictures
38356,0.760503,Transformers: Dark of the Moon,2011,189032618.305,1089358138.29,Paramount Pictures
72571,0.760193,Paranormal Activity 3,2011,4846990.21296,199408878.523,Paramount Pictures
48340,0.587045,Sanctum,2011,29081941.2777,105285652.521,Universal Pictures
51497,0.436803,Fast Five,2011,121174755.324,606976636.538,Universal Pictures
2501,3.628943,The Bourne Identity,2002,72735683.6172,259465426.669,Universal Pictures
245,1.263507,About a Boy,2002,32731057.6278,156381719.777,Universal Pictures
201,1.204615,Star Trek: Nemesis,2002,72735683.6172,81600740.2553,Paramount Pictures
590,1.17681,The Hours,2002,30306534.8405,131949890.933,Paramount Pictures
10375,1.039674,D-Tox,2002,66674376.6491,7778235.20441,Universal Pictures
9334,1.025158,The Scorpion King,2002,72735683.6172,200427031.199,Universal Pictures
4614,0.958182,The Sum of All Fears,2002,82.4337747662,233.966448969,Paramount Pictures
10590,0.936666,We Were Soldiers,2002,90919604.5215,138998841.805,Paramount Pictures
9012,0.925495,Jackass: The Movie,2002,6061306.9681,77926965.1303,Paramount Pictures
1537,0.742412,Changing Lanes,2002,54551762.7129,115086961.571,Paramount Pictures
8665,0.72233,K-19: The Widowmaker,2002,121226139.362,42633979.7354,Paramount Pictures
9093,0.534397,The Four Feathers,2002,42429148.7767,36225576.8728,Paramount Pictures
15028,0.440499,Clockstoppers,2002,31518796.2341,47027599.3127,Paramount Pictures
11870,0.416292,Big Fat Liar,2002,18183920.9043,64213502.9917,Universal Pictures
11022,0.400097,Narc,2002,7879699.05853,15315403.7449,Paramount Pictures
17130,0.462287,Crossroads,2002,14547136.7234,74118910.2352,Paramount Pictures
15992,0.246694,Abandon,2002,30306534.8405,12994662.6555,Paramount Pictures
9533,0.299006,Red Dragon,2002,94556388.7024,253600595.754,Universal Pictures
12771,0.294923,Serving Sara,2002,35155580.415,20523809.6624,Paramount Pictures
10052,0.281325,Dragonfly,2002,72735683.6172,63428425.5416,Universal Pictures
12277,0.132296,Undercover Brother,2002,30306534.8405,50435496.4198,Universal Pictures
13,6.715966,Forrest Gump,1994,80911135.8879,997333314.601,Paramount Pictures
36593,2.126863,The Naked Gun 33⅓: The Final Insult,1994,44133346.8479,75221756.0924,Paramount Pictures
9331,1.353693,Clear and Present Danger,1994,91208916.8191,317594916.486,Paramount Pictures
306,1.267344,Beverly Hills Cop III,1994,73555578.0799,175369721.964,Paramount Pictures
888,0.954392,The Flintstones,1994,67671131.8335,502577619.892,Universal Pictures
193,0.948788,Star Trek: Generations,1994,55902239.3407,176533387.392,Paramount Pictures
6280,0.848554,Junior,1994,88266693.6959,54431127.7791,Universal Pictures
8850,0.84317,The Shadow,1994,36777789.04,70706674.9186,Universal Pictures
8831,0.710052,Timecop,1994,39720012.1632,149533460.506,Universal Pictures
11667,0.607281,Street Fighter,1994,51488904.6559,146263091.238,Universal Pictures
2788,0.509774,Reality Bites,1994,16917782.9584,29539699.4902,Universal Pictures
46717,0.416428,Intersection,1994,66200020.2719,31416901.1006,Paramount Pictures
49040,4.611854,The Bourne Legacy,2012,123466756.576,262673566.242,Universal Pictures
58595,3.335603,Snow White and the Huntsman,2012,161456527.83,376668581.984,Universal Pictures
72105,2.990114,Ted,2012,47487214.0676,521759415.527,Universal Pictures
75780,2.944554,Jack Reacher,2012,56984656.8811,207367731.488,Paramount Pictures
71552,1.979531,American Reunion,2012,47487214.0676,223180013.581,Universal Pictures
73723,1.682769,The Lorax,2012,66482099.6947,331309095.226,Universal Pictures
44833,1.630455,Battleship,2012,198496554.803,287796721.483,Universal Pictures
